x_data_plot1,y_data_plot1,x_data_plot2,y_data_plot2
1618,0.9737953,,
1619,0.9751123,,
1620,0.9745645,,
1621,0.9719743,,
1622,0.97103107,,
1623,0.9709752,,
1624,0.97275674,,
1625,0.97261244,,
1626,0.97160286,,
1627,0.9705284,,
1628,0.969631,,
1629,0.96608824,,
1630,0.96617293,,
1631,0.9657809,,
1632,0.96602875,,
1633,0.96566564,,
1634,0.9678729,,
1635,0.9686884,,
1636,0.967604,,
1637,0.96909773,,
1638,0.97080874,,
1639,0.97227675,,
1640,0.9726202,,
1641,0.9747246,,
1642,0.9731948,,
1643,0.97218585,,
1644,0.97315675,,
1645,0.97362256,,
1646,0.9726868,,
1647,0.97295445,,
1648,0.9770753,,
1649,0.9755617,,
1650,0.97518075,,
1651,0.97346073,,
1652,0.97225875,,
1653,0.9719144,,
1654,0.97197,,
1655,0.9714028,,
1656,0.9726499,,
1657,0.9757108,,
1658,0.97493166,,
1659,0.9712811,,
1660,0.9706358,,
1661,0.97025335,,
1662,0.9727998,,
1663,0.97343963,,
1664,0.9723387,,
1665,0.9737833,,
1666,0.9729845,,
1667,0.9729884,,
1668,0.9717543,,
1669,0.97274923,,
1670,0.9743453,,
1671,0.97429097,,
1672,0.9736426,,
1673,0.9735153,,
1674,0.9742664,,
1675,0.97417426,,
1676,0.97586226,,
1677,0.97669667,,
1678,0.97342837,,
1679,0.9718541,,
1680,0.9706129,,
1681,0.9686309,,
1682,0.96686715,,
1683,0.96742415,,
1684,0.9679662,,
1685,0.9639072,,
1686,0.966364,,
1687,0.9669995,,
1688,0.9680945,,
1689,0.9688731,,
1690,0.97013706,,
1691,0.97295195,,
1692,0.972153,,
1693,0.9740794,,
1694,0.9748504,,
1695,0.97765654,,
1696,0.9789385,,
1697,0.97553015,,
1698,0.97414917,,
1699,0.9734203,,
1700,0.9731821,,
1701,0.9745011,,
1702,0.9725285,,
1703,0.9739036,,
1704,0.9714085,,
1705,0.9710948,,
1706,0.973038,,
1707,0.9732726,,
1708,0.9720117,,
1709,0.97542906,,
1710,0.9751328,,
1711,0.97429806,,
1712,0.97780144,,
1713,0.97290784,,
1714,0.97286856,,
1715,0.9713236,,
1716,0.9706308,,
1717,0.96964663,,
1718,0.9694008,,
1719,0.9677935,,
1720,0.96505755,,
1721,0.9610408,,
1722,0.9587017,,
1723,0.96002513,,
1724,0.9565851,,
1725,0.955742,,
1726,0.9581897,,
1727,0.96277565,,
1728,0.9626441,,
1729,0.96493274,,
1730,0.96584207,,
1731,0.96788144,,
1732,0.96672595,,
1733,0.9653804,,
1734,0.96571666,,
1735,0.96604717,,
1736,0.9683876,,
1737,0.9696734,,
1738,0.9699984,,
1739,0.970838,,
1740,0.97054,,
1741,0.9699259,,
1742,0.9718673,,
1743,0.9753508,,
1744,0.9765706,,
1745,0.9765474,,
1746,0.97490937,,
1747,0.97365904,,
1748,0.9690334,,
1749,0.9698844,,
1750,0.97084796,,
1751,0.97330624,,
1752,0.9732572,,
1753,0.9726009,,
1754,0.97047997,,
1755,0.97006917,,
1756,0.9714786,,
1757,0.9715608,,
1758,0.97342366,,
1759,0.9766677,,
1760,0.9752698,,
1761,0.97761685,,
1762,0.97872865,,
1763,0.9761778,,
1764,0.97760594,,
1765,0.9798002,,
1766,0.97719413,,
1767,0.9758575,,
1768,0.97512406,,
1769,0.97496986,,
1770,0.9739311,,
1771,0.9734599,,
1772,0.97273386,,
1773,0.9694091,,
1774,0.9700186,,
1775,0.9683785,,
1776,0.965484,,
1777,0.9663105,,
1778,0.9635077,,
1779,0.96372575,,
1780,0.96386874,,
1781,0.96732825,,
1782,0.967604,,
1783,0.9692706,,
1784,0.9702273,,
1785,0.9696544,,
1786,0.9671508,,
1787,0.9689435,,
1788,0.96930087,,
1789,0.96830857,,
1790,0.9702821,,
1791,0.9717458,,
1792,0.97100586,,
1793,0.9702587,,
1794,0.9695601,,
1795,0.9714169,,
1796,0.97142553,,
1797,0.97510594,,
1798,0.97140783,,
1799,0.9726855,,
1800,0.9705583,,
1801,0.97004783,,
1802,0.96942973,,
1803,0.9667608,,
1804,0.96616244,,
1805,0.96343625,,
1806,0.96300185,,
1807,0.9661832,,
1808,0.96174276,,
1809,0.96161765,,
