x_data_plot1,y_data_plot1,x_data_plot2,y_data_plot2
37964,0.015658073,,
37965,0.015839653,,
37966,0.016042499,,
37967,0.015989505,,
37968,0.015910469,,
37969,0.015809212,,
37970,0.01574956,,
37971,0.015676849,,
37972,0.015665943,,
37973,0.015858077,,
37974,0.015729051,,
37975,0.015790131,,
37976,0.015664063,,
37977,0.01566162,,
37978,0.015487042,,
37979,0.015407082,,
37980,0.015264664,,
37981,0.015357559,,
37982,0.015366578,,
37983,0.015196794,,
37984,0.015594278,,
37985,0.015605932,,
37986,0.015494196,,
37987,0.015480364,,
37988,0.015301265,,
37989,0.015337246,,
37990,0.015787657,,
37991,0.015709234,,
37992,0.016001428,,
37993,0.015876988,,
37994,0.016000599,,
37995,0.015822174,,
37996,0.015783124,,
37997,0.015631378,,
37998,0.015619729,,
37999,0.015467653,,
38000,0.015913367,,
38001,0.01622402,,
38002,0.016342571,,
38003,0.016252043,,
38004,0.016879512,,
38005,0.016996969,,
38006,0.016899345,,
38007,0.017073184,,
38008,0.016919762,,
38009,0.016848093,,
38010,0.016752075,,
38011,0.016618004,,
38012,0.016461104,,
38013,0.016549293,,
38014,0.016454779,,
38015,0.016494082,,
38016,0.016814604,,
38017,0.016813636,,
38018,0.016615141,,
38019,0.016439397,,
38020,0.0162521,,
38021,0.016294094,,
38022,0.016529202,,
38023,0.016978115,,
38024,0.016979953,,
38025,0.016725583,,
38026,0.016620692,,
38027,0.01656541,,
38028,0.016668895,,
38029,0.016490046,,
38030,0.016439948,,
38031,0.01638232,,
38032,0.016298922,,
38033,0.016168507,,
38034,0.016207352,,
38035,0.0160522,,
38036,0.016383788,,
38037,0.016195646,,
38038,0.016057573,,
38039,0.015937539,,
38040,0.016180832,,
38041,0.01623844,,
38042,0.016099649,,
38043,0.015884094,,
38044,0.015992502,,
38045,0.016209802,,
38046,0.01626515,,
38047,0.016257687,,
38048,0.016177863,,
38049,0.01627395,,
38050,0.016281806,,
38051,0.01629672,,
38052,0.016209967,,
38053,0.016215099,,
38054,0.017108526,,
38055,0.017051956,,
38056,0.017204115,,
38057,0.01711003,,
38058,0.017368123,,
38059,0.017176976,,
38060,0.017449789,,
38061,0.017785726,,
38062,0.017754963,,
38063,0.017684655,,
38064,0.017520173,,
38065,0.017393392,,
38066,0.017380938,,
38067,0.01796769,,
38068,0.01775928,,
38069,0.017578764,,
38070,0.017512072,,
38071,0.017302902,,
38072,0.01728793,,
38073,0.01716594,,
38074,0.016931534,,
38075,0.016733065,,
38076,0.016667454,,
38077,0.01701026,,
38078,0.017207278,,
38079,0.017147237,,
38080,0.01719311,,
38081,0.017061483,,
38082,0.01706526,,
38083,0.017139984,,
38084,0.01692714,,
38085,0.016693503,,
38086,0.017026529,,
38087,0.01710994,,
38088,0.017042276,,
38089,0.016999014,,
38090,0.01684698,,
38091,0.016712295,,
38092,0.01679858,,
38093,0.016776152,,
38094,0.017465355,,
38095,0.017248303,,
38096,0.01719294,,
38097,0.017090423,,
38098,0.017224729,,
38099,0.017431132,,
38100,0.017281177,,
38101,0.017448235,,
38102,0.01738804,,
38103,0.017564936,,
38104,0.017472442,,
38105,0.017348725,,
38106,0.017132921,,
38107,0.016941411,,
38108,0.017014692,,
38109,0.017124131,,
38110,0.01706423,,
38111,0.016962871,,
38112,0.017710457,,
38113,0.017841885,,
38114,0.017700631,,
38115,0.018067267,,
38116,0.017826501,,
38117,0.017599894,,
38118,0.01736243,,
38119,0.017348083,,
38120,0.017244367,,
38121,0.017227367,,
38122,0.017451292,,
38123,0.017225834,,
38124,0.016962934,,
38125,0.016872764,,
38126,0.016729327,,
38127,0.016737914,,
38128,0.016694095,,
38129,0.016492618,,
38130,0.01653727,,
38131,0.016269304,,
38132,0.016026707,,
38133,0.016118359,,
38134,0.016099716,,
38135,0.016236698,,
38136,0.01624582,,
38137,0.01607667,,
38138,0.01617411,,
38139,0.016208988,,
38140,0.016490638,,
38141,0.016331835,,
38142,0.016738087,,
38143,0.016786804,,
38144,0.016770972,,
38145,0.016668241,,
38146,0.01644567,,
38147,0.016269272,,
38148,0.016899414,,
38149,0.016859625,,
38150,0.016948283,,
38151,0.01704804,,
38152,0.016978433,,
38153,0.016893415,,
38154,0.016810918,,
38155,0.01688766,,
38156,0.0168544,,
38157,0.016726103,,
38158,0.01655424,,
38159,0.016866667,,
38160,0.016813235,,
38161,0.01665171,,
38162,0.016701538,,
38163,0.016823344,,
38164,0.017219707,,
38165,0.01749819,,
38166,0.017270142,,
38167,0.017231975,,
38168,0.017305145,,
38169,0.017554443,,
38170,0.017328834,,
38171,0.017658459,,
38172,0.017492019,,
38173,0.017689923,,
38174,0.017840557,,
38175,0.017638182,,
38176,0.017620416,,
38177,0.017308546,,
38178,0.017599419,,
38179,0.01752532,,
38180,0.017310387,,
38181,0.017188596,,
38182,0.01711875,,
38183,0.01721117,,
38184,0.017092412,,
38185,0.016880102,,
38186,0.016901853,,
38187,0.016698867,,
38188,0.016826117,,
38189,0.016667807,,
38190,0.016485738,,
38191,0.017032074,,
38192,0.016865369,,
38193,0.016723061,,
38194,0.016646221,,
38195,0.01649636,,
38196,0.016369395,,
38197,0.01624739,,
38198,0.016105942,,
38199,0.015991917,,
38200,0.016015181,,
38201,0.01579891,,
38202,0.015751101,,
38203,0.015674036,,
38204,0.01555076,,
38205,0.015918376,,
38206,0.016192235,,
38207,0.01615305,,
38208,0.016077615,,
38209,0.015973398,,
38210,0.015864165,,
38211,0.01574884,,
38212,0.01568293,,
38213,0.015448641,,
38214,0.015533356,,
38215,0.015451971,,
38216,0.015494423,,
38217,0.015339372,,
38218,0.0153313,,
38219,0.015445172,,
38220,0.015434172,,
38221,0.015306304,,
38222,0.01531032,,
38223,0.015286523,,
38224,0.015679676,,
38225,0.01552528,,
38226,0.015408547,,
38227,0.015398901,,
38228,0.01524284,,
38229,0.015373987,,
38230,0.015497473,,
38231,0.015623588,,
38232,0.01554743,,
38233,0.015421009,,
38234,0.0153576145,,
38235,0.015485931,,
38236,0.015533649,,
38237,0.015368039,,
38238,0.015207004,,
38239,0.015091072,,
38240,0.015733318,,
38241,0.015549632,,
38242,0.015362563,,
38243,0.015332237,,
38244,0.01523418,,
38245,0.015028291,,
38246,0.015109354,,
38247,0.014925836,,
38248,0.015023505,,
38249,0.01486539,,
38250,0.014913914,,
38251,0.014886805,,
38252,0.015013023,,
38253,0.014875043,,
38254,0.014695572,,
38255,0.014555791,,
38256,0.014418555,,
38257,0.01440929,,
38258,0.014304022,,
